period_date,state_fips,state_name,gdp_millions
2011-01-01,01,Alabama,201372839
2012-01-01,01,Alabama,203675511
2013-01-01,01,Alabama,206962905
2014-01-01,01,Alabama,206070026
2015-01-01,01,Alabama,208950294
2016-01-01,01,Alabama,212862789
2017-01-01,01,Alabama,216615470
2018-01-01,01,Alabama,220808767
2019-01-01,01,Alabama,225272775
2020-01-01,01,Alabama,222288753
2021-01-01,01,Alabama,233726620
2022-01-01,01,Alabama,238556458
2023-01-01,01,Alabama,245354674
2001-01-01,01,Alabama,168448296
2002-01-01,01,Alabama,172430379
2003-01-01,01,Alabama,178039962
2004-01-01,01,Alabama,189913745
2005-01-01,01,Alabama,197246483
2006-01-01,01,Alabama,199923857
2007-01-01,01,Alabama,202025481
2008-01-01,01,Alabama,200967427
2009-01-01,01,Alabama,194192061
2010-01-01,01,Alabama,199454968
2011-01-01,02,Alaska,54045452
2012-01-01,02,Alaska,57087368
2013-01-01,02,Alaska,54627629
2014-01-01,02,Alaska,53303253
2015-01-01,02,Alaska,53681146
2016-01-01,02,Alaska,53463861
2017-01-01,02,Alaska,53550915
2018-01-01,02,Alaska,52479584
2019-01-01,02,Alaska,52377485
2020-01-01,02,Alaska,50332774
2021-01-01,02,Alaska,51454146
2022-01-01,02,Alaska,50767108
2023-01-01,02,Alaska,54059682
2001-01-01,02,Alaska,40014380
2002-01-01,02,Alaska,41904674
2003-01-01,02,Alaska,41235016
2004-01-01,02,Alaska,42880090
2005-01-01,02,Alaska,44406803
2006-01-01,02,Alaska,47546237
2007-01-01,02,Alaska,50126750
2008-01-01,02,Alaska,49926563
2009-01-01,02,Alaska,54951938
2010-01-01,02,Alaska,53652007
2010-01-01,04,Arizona,282252452
2011-01-01,04,Arizona,290411264
2012-01-01,04,Arizona,297077253
2013-01-01,04,Arizona,298859949
2014-01-01,04,Arizona,301721179
2015-01-01,04,Arizona,308582795
2016-01-01,04,Arizona,319008379
2017-01-01,04,Arizona,333098997
2018-01-01,04,Arizona,346398299
2019-01-01,04,Arizona,359576749
2020-01-01,04,Arizona,365027704
2021-01-01,04,Arizona,395035854
2022-01-01,04,Arizona,410228449
2023-01-01,04,Arizona,422399581
2001-01-01,04,Arizona,230885564
2002-01-01,04,Arizona,238257096
2003-01-01,04,Arizona,253743083
2004-01-01,04,Arizona,264989995
2005-01-01,04,Arizona,283806171
2006-01-01,04,Arizona,296424393
2007-01-01,04,Arizona,306611569
2008-01-01,04,Arizona,302277938
2009-01-01,04,Arizona,277412371
2011-01-01,05,Arkansas,115241765
2012-01-01,05,Arkansas,116616177
2013-01-01,05,Arkansas,119842786
2014-01-01,05,Arkansas,121409411
2015-01-01,05,Arkansas,121532512
2016-01-01,05,Arkansas,123034853
2017-01-01,05,Arkansas,123882586
2018-01-01,05,Arkansas,126371242
2019-01-01,05,Arkansas,127220002
2020-01-01,05,Arkansas,128340910
2021-01-01,05,Arkansas,137463618
2022-01-01,05,Arkansas,139560739
2023-01-01,05,Arkansas,142860555
2001-01-01,05,Arkansas,95528730
2002-01-01,05,Arkansas,98556605
2003-01-01,05,Arkansas,102947977
2004-01-01,05,Arkansas,108581758
2005-01-01,05,Arkansas,112451090
2006-01-01,05,Arkansas,114890410
2007-01-01,05,Arkansas,114026706
2008-01-01,05,Arkansas,113627974
2009-01-01,05,Arkansas,109833120
2010-01-01,05,Arkansas,113000861
2011-01-01,06,California,2192887191
2012-01-01,06,California,2255437279
2013-01-01,06,California,2340335324
2014-01-01,06,California,2428675697
2015-01-01,06,California,2545979525
2016-01-01,06,California,2623711672
2017-01-01,06,California,2740550256
2018-01-01,06,California,2850970282
2019-01-01,06,California,2969608988
2020-01-01,06,California,2933320241
2021-01-01,06,California,3154188636
2022-01-01,06,California,3184007836
2023-01-01,06,California,3248656553
2001-01-01,06,California,1784567677
2002-01-01,06,California,1821509513
2003-01-01,06,California,1895287618
2004-01-01,06,California,1956745474
2005-01-01,06,California,2042141033
2006-01-01,06,California,2120435378
2007-01-01,06,California,2168940424
2008-01-01,06,California,2192331807
2009-01-01,06,California,2110679365
2010-01-01,06,California,2153852764
2011-01-01,08,Colorado,283963779
2012-01-01,08,Colorado,289339541
2013-01-01,08,Colorado,301484129
2014-01-01,08,Colorado,315399050
2015-01-01,08,Colorado,330526147
2016-01-01,08,Colorado,337685173
2017-01-01,08,Colorado,350209112
2018-01-01,08,Colorado,365204531
2019-01-01,08,Colorado,383725638
2020-01-01,08,Colorado,380188778
2021-01-01,08,Colorado,406451935
2022-01-01,08,Colorado,418818816
2023-01-01,08,Colorado,437056036
2001-01-01,08,Colorado,242650096
2002-01-01,08,Colorado,243701932
2003-01-01,08,Colorado,246017435
2004-01-01,08,Colorado,250069293
2005-01-01,08,Colorado,261992919
2006-01-01,08,Colorado,268190805
2007-01-01,08,Colorado,278733823
2008-01-01,08,Colorado,281803303
2009-01-01,08,Colorado,275659145
2010-01-01,08,Colorado,279385573
2001-01-01,09,Connecticut,236338107
2002-01-01,09,Connecticut,234307344
2003-01-01,09,Connecticut,236719115
2004-01-01,09,Connecticut,252680831
2005-01-01,09,Connecticut,258203694
2006-01-01,09,Connecticut,269478567
2007-01-01,09,Connecticut,278485379
2008-01-01,09,Connecticut,277793163
2009-01-01,09,Connecticut,265530775
2010-01-01,09,Connecticut,266773408
2011-01-01,09,Connecticut,261555788
2012-01-01,09,Connecticut,263649924
2013-01-01,09,Connecticut,258910988
2014-01-01,09,Connecticut,260605767
2015-01-01,09,Connecticut,268869760
2016-01-01,09,Connecticut,268196181
2017-01-01,09,Connecticut,273875070
2018-01-01,09,Connecticut,274582807
2019-01-01,09,Connecticut,275225375
2020-01-01,09,Connecticut,260765221
2021-01-01,09,Connecticut,269838687
2022-01-01,09,Connecticut,278975911
2023-01-01,09,Connecticut,286628442
2011-01-01,10,Delaware,71103481
2012-01-01,10,Delaware,70562372
2013-01-01,10,Delaware,68656786
2014-01-01,10,Delaware,73961749
2015-01-01,10,Delaware,76211173
2016-01-01,10,Delaware,71941407
2017-01-01,10,Delaware,69555627
2018-01-01,10,Delaware,70856435
2019-01-01,10,Delaware,74627793
2020-01-01,10,Delaware,72506771
2021-01-01,10,Delaware,74657054
2022-01-01,10,Delaware,77149229
2023-01-01,10,Delaware,78014386
