year,cbsa_code,cbsa_title,total_population,median_age,median_household_income,per_capita_income,total_housing_units,owner_occupied_units,renter_occupied_units,homeownership_rate,median_home_value,median_gross_rent,rent_as_pct_of_income,population_yoy,income_yoy
2012,10020,"Abbeville, LA Micro Area",58041,36.7,44339,22569,25221,16800,5148,76.54,94800,578,24.1,0.66,2.28
2011,10020,"Abbeville, LA Micro Area",57660,36.8,43349,22193,24987,16699,5038,76.82,94900,587,23.1,0.66,1.54
2010,10020,"Abbeville, LA Micro Area",57280,36.3,42693,21389,24680,16490,5296,75.69,93300,551,22.4,,
2023,10100,"Aberdeen, SD Micro Area",42112,38.2,70761,39977,19901,12039,5914,67.06,208200,796,22.8,-0.43,0.10
2022,10100,"Aberdeen, SD Micro Area",42292,37.9,70693,38237,19896,11846,5731,67.39,195700,752,22.6,-0.43,10.12
2021,10100,"Aberdeen, SD Micro Area",42476,37.4,64194,36182,19820,11827,5862,66.86,168400,708,22.4,-0.91,3.47
2020,10100,"Aberdeen, SD Micro Area",42864,37.7,62042,33591,20155,11933,5862,67.06,168300,671,22.8,0.09,4.68
2019,10100,"Aberdeen, SD Micro Area",42824,37.3,59270,33260,20075,11701,6148,65.56,163900,692,23.7,0.10,3.65
2018,10100,"Aberdeen, SD Micro Area",42780,37.3,57184,32025,19998,11965,5782,67.42,155200,676,26.2,0.40,4.86
2017,10100,"Aberdeen, SD Micro Area",42608,37.8,54533,31525,19789,12090,5817,67.52,151400,647,24.9,0.42,1.59
2016,10100,"Aberdeen, SD Micro Area",42430,38.2,53682,29525,19425,12171,5550,68.68,147300,622,26.3,0.84,0.74
2015,10100,"Aberdeen, SD Micro Area",42078,38.9,53289,28712,19191,12265,5317,69.76,141600,608,25.1,1.24,1.23
2014,10100,"Aberdeen, SD Micro Area",41564,39.2,52641,27892,19061,12374,5009,71.18,136000,587,25.3,1.29,2.66
2013,10100,"Aberdeen, SD Micro Area",41033,39.8,51279,27004,18850,12185,4994,70.93,131100,560,23.8,1.04,3.28
2012,10100,"Aberdeen, SD Micro Area",40612,40.1,49652,25863,18685,12106,4805,71.59,128700,517,23.1,0.74,4.76
2011,10100,"Aberdeen, SD Micro Area",40315,40.0,47395,24664,18607,11881,4936,70.65,119400,498,22.5,0.64,3.72
2010,10100,"Aberdeen, SD Micro Area",40058,39.8,45694,23917,18505,11618,4911,70.29,111800,469,22.3,,
2023,10140,"Aberdeen, WA Micro Area",76397,44.7,63539,33763,36568,21770,8212,72.61,279500,1018,28.1,0.96,7.50
2022,10140,"Aberdeen, WA Micro Area",75672,44.4,59105,31703,36204,21045,8497,71.24,249900,943,28.2,1.25,10.24
2021,10140,"Aberdeen, WA Micro Area",74737,44.4,53615,28259,35928,20449,8870,69.75,213200,873,28.8,1.31,5.82
2020,10140,"Aberdeen, WA Micro Area",73769,44.3,50665,27277,36572,20253,9180,68.81,192600,828,28.1,1.36,-1.12
2019,10140,"Aberdeen, WA Micro Area",72779,44.0,51240,27210,36273,19254,9468,67.04,178800,775,29.0,1.13,7.26
2018,10140,"Aberdeen, WA Micro Area",71967,43.7,47770,25374,36005,18714,9549,66.21,168500,778,29.8,0.72,5.03
2017,10140,"Aberdeen, WA Micro Area",71454,43.5,45483,24081,35850,18547,9523,66.07,161800,771,29.8,0.31,2.16
2016,10140,"Aberdeen, WA Micro Area",71233,43.0,44521,23799,35278,18430,9042,67.09,159400,750,29.6,-0.26,2.26
2015,10140,"Aberdeen, WA Micro Area",71419,42.7,43538,22387,35262,18452,8767,67.79,158300,729,29.8,-0.44,0.37
2014,10140,"Aberdeen, WA Micro Area",71734,42.5,43379,22190,35208,18846,8472,68.99,158500,732,29.5,-0.50,2.30
2013,10140,"Aberdeen, WA Micro Area",72092,42.2,42405,21828,35122,18998,8398,69.35,157600,707,29.9,-0.25,-0.08
2012,10140,"Aberdeen, WA Micro Area",72272,42.0,42440,21897,35114,19302,8603,69.17,161400,696,29.0,-0.11,-0.68
2011,10140,"Aberdeen, WA Micro Area",72348,41.6,42729,21389,34992,19242,8328,69.79,160000,691,28.7,0.36,1.98
2010,10140,"Aberdeen, WA Micro Area",72092,41.6,41899,21656,34728,19363,8828,68.69,158200,655,27.2,,
2023,10180,"Abilene, TX Metro Area",178244,34.4,66464,32292,75164,41670,23985,63.47,172800,1095,29.5,0.90,7.33
2022,10180,"Abilene, TX Metro Area",176656,34.3,61924,30366,74540,40831,24244,62.74,158300,1050,29.4,0.81,7.96
2021,10180,"Abilene, TX Metro Area",175241,34.2,57356,28402,73899,40592,23739,63.10,134000,949,28.5,2.27,4.56
2020,10180,"Abilene, TX Metro Area",171354,34.1,54857,26737,71554,38334,23080,62.42,124900,908,28.1,0.40,4.47
2019,10180,"Abilene, TX Metro Area",170669,34.1,52511,26011,71513,37756,23175,61.97,116100,907,28.2,0.39,5.14
2018,10180,"Abilene, TX Metro Area",170009,33.9,49945,25284,71259,37520,22874,62.13,110100,893,29.0,0.60,3.72
2017,10180,"Abilene, TX Metro Area",169000,33.9,48156,24278,70907,37666,22703,62.39,102000,832,28.6,0.13,3.62
2016,10180,"Abilene, TX Metro Area",168774,33.9,46473,23353,70713,37194,23114,61.67,98200,800,28.7,0.49,3.74
2015,10180,"Abilene, TX Metro Area",167945,33.8,44799,22717,70396,38193,22045,63.40,94000,769,29.1,0.46,1.24
2014,10180,"Abilene, TX Metro Area",167171,34.1,44249,22373,70174,38204,22139,63.31,91900,768,29.9,0.58,-0.44
2013,10180,"Abilene, TX Metro Area",166202,34.3,44446,22113,69878,38745,21401,64.42,89000,747,29.6,0.68,1.00
2012,10180,"Abilene, TX Metro Area",165083,34.5,44007,22598,69715,39162,21009,65.08,89300,739,30.4,0.60,3.20
2011,10180,"Abilene, TX Metro Area",164100,34.7,42644,21619,69478,39679,20803,65.60,84800,719,29.8,0.62,0.85
2010,10180,"Abilene, TX Metro Area",163092,34.6,42286,21749,69156,39809,21103,65.35,83400,709,29.6,,
2023,10220,"Ada, OK Micro Area",38158,37.5,62564,32176,17483,9949,5025,66.44,170500,880,24.6,0.11,5.23
2022,10220,"Ada, OK Micro Area",38116,37.3,59457,30774,17424,9733,5068,65.76,151500,847,25.0,0.04,6.44
2021,10220,"Ada, OK Micro Area",38102,36.2,55862,28247,17362,9500,5104,65.05,137000,778,24.8,-0.74,8.09
2020,10220,"Ada, OK Micro Area",38385,36.0,51682,27038,16861,9278,4956,65.18,134700,730,24.6,0.08,2.56
2019,10220,"Ada, OK Micro Area",38355,35.7,50392,26187,16881,9414,4864,65.93,129300,707,26.1,-0.01,2.35
2018,10220,"Ada, OK Micro Area",38358,35.6,49235,24683,16826,9323,5031,64.95,125700,692,26.5,0.18,5.45
2017,10220,"Ada, OK Micro Area",38289,35.5,46689,23862,16785,9291,5221,64.02,120300,659,26.3,0.20,6.01
2016,10220,"Ada, OK Micro Area",38213,35.3,44041,22710,16723,9389,5236,64.20,113100,633,27.2,0.42,1.80
2015,10220,"Ada, OK Micro Area",38055,35.3,43261,21827,16696,9355,5236,64.11,107800,638,28.4,0.48,1.63
2014,10220,"Ada, OK Micro Area",37873,35.3,42566,21556,16674,9667,4983,65.99,102000,635,29.6,0.46,1.64
2013,10220,"Ada, OK Micro Area",37700,35.3,41881,22381,16613,9857,4936,66.63,99100,626,29.4,0.70,2.95
2012,10220,"Ada, OK Micro Area",37438,35.5,40680,21897,16558,9833,4859,66.93,97300,604,29.4,0.91,0.10
2011,10220,"Ada, OK Micro Area",37102,35.6,40641,22238,16542,9655,5120,65.35,97800,557,28.1,1.25,8.42
2010,10220,"Ada, OK Micro Area",36644,35.7,37484,21136,16426,9653,5129,65.30,92500,522,30.5,,
2018,10260,"Adjuntas, PR Micro Area",18181,40.9,12902,7126,7594,3191,2670,54.44,85200,363,30.6,-1.86,10.46
2017,10260,"Adjuntas, PR Micro Area",18525,39.5,11680,7117,7705,3364,2802,54.56,81700,370,33.0,-1.25,3.40
2016,10260,"Adjuntas, PR Micro Area",18760,38.9,11296,7124,7673,3333,2972,52.86,90900,374,34.7,-1.07,7.59
2015,10260,"Adjuntas, PR Micro Area",18962,37.8,10499,7270,7694,3384,2938,53.53,103000,361,37.8,-1.18,-0.48
2014,10260,"Adjuntas, PR Micro Area",19188,37.1,10550,7042,7514,3530,2648,57.14,103500,367,37.0,-0.76,-8.48
2013,10260,"Adjuntas, PR Micro Area",19334,36.6,11528,7235,7298,3773,2301,62.12,104600,382,35.5,-0.64,-11.97
2012,10260,"Adjuntas, PR Micro Area",19458,36.3,13095,7167,7037,3693,2071,64.07,111500,371,35.4,-0.29,0.92
2011,10260,"Adjuntas, PR Micro Area",19514,35.7,12975,6889,6834,3813,1685,69.35,102800,390,35.4,-0.14,8.28
2010,10260,"Adjuntas, PR Micro Area",19541,34.8,11983,5974,6548,3832,1409,73.12,87600,387,34.9,,
2023,10300,"Adrian, MI Micro Area",98823,42.2,67013,33914,43747,30517,8290,78.64,181100,965,29.4,-0.44,2.33
2022,10300,"Adrian, MI Micro Area",99263,42.0,65484,32976,43634,30376,8250,78.64,168100,924,28.7,-0.08,7.96
2021,10300,"Adrian, MI Micro Area",99346,41.8,60656,29958,43604,30162,8505,78.00,150700,855,28.0,1.05,5.83
2020,10300,"Adrian, MI Micro Area",98310,42.1,57314,28695,43894,30116,8577,77.83,143000,796,27.2,-0.07,3.36
2019,10300,"Adrian, MI Micro Area",98381,41.9,55450,27850,43806,29728,8617,77.53,139400,767,27.4,-0.09,2.74
2018,10300,"Adrian, MI Micro Area",98474,41.7,53972,26958,43751,29578,8644,77.38,133300,763,28.3,-0.11,5.13
2017,10300,"Adrian, MI Micro Area",98585,41.6,51339,25649,43690,29599,8516,77.66,124900,756,28.8,-0.09,4.14
2016,10300,"Adrian, MI Micro Area",98673,41.2,49300,24512,43456,29398,8458,77.66,119400,754,29.9,-0.23,2.62
2015,10300,"Adrian, MI Micro Area",98902,40.9,48043,23252,43412,29180,8784,76.86,114900,731,31.2,-0.36,-0.16
2014,10300,"Adrian, MI Micro Area",99257,40.6,48118,22834,43439,29241,8618,77.24,113900,724,31.7,-0.25,0.74
2013,10300,"Adrian, MI Micro Area",99505,40.5,47766,22395,43390,29366,8388,77.78,116900,710,32.4,-0.37,-1.57
2012,10300,"Adrian, MI Micro Area",99878,40.2,48528,22256,43406,29378,8213,78.15,124400,694,32.6,-0.58,-0.14
2011,10300,"Adrian, MI Micro Area",100456,39.7,48595,22449,43402,30114,7559,79.94,133800,663,32.4,-0.45,-0.05
2010,10300,"Adrian, MI Micro Area",100911,39.4,48618,22529,43331,30198,7633,79.82,140400,646,31.0,,
2023,10380,"Aguadilla, PR Metro Area",252430,45.2,20800,13383,122332,60272,30567,66.35,120000,506,29.0,-18.29,6.91
2022,10380,"Aguadilla-Isabela, PR Metro Area",308919,44.8,19455,12248,147709,72740,38816,65.20,109300,476,29.9,-0.68,9.39
2021,10380,"Aguadilla-Isabela, PR Metro Area",311049,44.2,17785,11107,147004,72268,38718,65.11,99200,445,29.9,5.38,6.22
2020,10380,"Aguadilla-Isabela, PR Metro Area",295172,43.5,16744,10429,147417,72424,39238,64.86,96300,425,30.4,-1.97,1.66
2019,10380,"Aguadilla-Isabela, PR Metro Area",301107,42.6,16470,9998,146903,71462,37786,65.41,96600,425,31.6,-2.10,0.62
2018,10380,"Aguadilla-Isabela, PR Metro Area",307555,42.0,16369,9602,146603,71757,38732,64.94,98600,425,32.0,-2.39,3.80
2017,10380,"Aguadilla-Isabela, PR Metro Area",315100,40.9,15769,8991,146064,72666,38075,65.62,99100,416,32.3,-1.78,1.32
2016,10380,"Aguadilla-Isabela, PR Metro Area",320810,40.3,15564,8576,146158,73127,37022,66.39,103300,408,34.1,-1.57,-0.33
2015,10380,"Aguadilla-Isabela, PR Metro Area",325921,39.8,15616,8468,145862,73550,36882,66.60,107000,406,34.3,-1.58,-0.41
2014,10380,"Aguadilla-Isabela, PR Metro Area",331146,39.1,15681,8404,144035,73926,35694,67.44,106700,405,35.4,-1.23,3.49
2013,10380,"Aguadilla-Isabela, PR Metro Area",335269,38.5,15152,7991,140493,74871,33412,69.14,105800,394,36.5,9.73,2.32
2012,10380,"Aguadilla-Isabela-San Sebastián, PR Metro Area",305538,37.9,14808,7764,124021,67895,27879,70.89,109900,393,36.9,-0.67,3.86
2011,10380,"Aguadilla-Isabela-San Sebastián, PR Metro Area",307587,37.3,14257,7664,124593,70719,27249,72.19,102000,384,37.4,-0.52,5.69
2010,10380,"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",309197,36.7,13489,7249,121558,71368,25806,73.44,96300,380,39.4,,
2023,10420,"Akron, OH Metro Area",699508,40.8,71312,41893,318279,199715,94348,67.92,199000,1005,29.4,-0.15,3.88
2022,10420,"Akron, OH Metro Area",700578,40.6,68647,40092,317333,197949,94274,67.74,185800,962,29.1,-0.27,8.39
2021,10420,"Akron, OH Metro Area",702464,40.5,63331,36662,316748,197047,94608,67.56,161900,889,28.9,-0.12,6.77
2020,10420,"Akron, OH Metro Area",703286,40.3,59313,33985,315600,194896,94610,67.32,153600,857,28.8,-0.08,3.54
2019,10420,"Akron, OH Metro Area",703845,40.3,57285,32786,315127,190863,95680,66.61,150000,830,29.0,-0.09,2.81
2018,10420,"Akron, OH Metro Area",704454,40.2,55718,31451,314626,190669,95709,66.58,144900,813,29.0,0.15,4.31
2017,10420,"Akron, OH Metro Area",703398,40.2,53418,30154,314354,189113,96116,66.30,140800,792,29.5,0.03,3.23
2016,10420,"Akron, OH Metro Area",703168,40.2,51749,28982,313270,187951,95521,66.30,138400,772,29.8,-0.08,1.15
2015,10420,"Akron, OH Metro Area",703744,40.1,51160,28309,313134,188352,93605,66.80,137900,755,30.4,0.10,0.76
2014,10420,"Akron, OH Metro Area",703017,40.0,50776,27823,312993,190131,91621,67.48,137600,753,30.5,-0.28,0.76
2013,10420,"Akron, OH Metro Area",704979,39.7,50392,27242,312397,191156,90211,67.94,139100,751,31.3,0.29,0.91
2012,10420,"Akron, OH Metro Area",702966,39.6,49936,27050,312351,193402,88910,68.51,141500,745,31.1,0.01,0.91
2011,10420,"Akron, OH Metro Area",702882,39.3,49485,26823,312044,195464,87780,69.01,144500,738,31.0,-0.03,1.88
2010,10420,"Akron, OH Metro Area",703093,38.9,48570,26317,311174,197765,87176,69.41,144800,727,30.5,,
2023,10460,"Alamogordo, NM Micro Area",68235,36.3,52717,28186,32400,15794,8491,65.04,149500,926,28.4,0.57,3.71
2022,10460,"Alamogordo, NM Micro Area",67850,35.9,50833,26319,32244,15649,8183,65.66,139100,882,27.9,0.82,8.27
2021,10460,"Alamogordo, NM Micro Area",67298,36.5,46949,23792,32109,15438,8152,65.44,123000,826,28.8,0.74,4.26
2020,10460,"Alamogordo, NM Micro Area",66804,36.2,45032,24777,31832,15237,7875,65.93,120800,811,28.8,1.01,7.25
2019,10460,"Alamogordo, NM Micro Area",66137,35.8,41988,23170,31745,15172,8462,64.20,112400,792,29.3,0.60,-1.79
2018,10460,"Alamogordo, NM Micro Area",65745,35.6,42752,22477,31673,15280,8111,65.32,108300,814,28.2,0.94,-1.79
2017,10460,"Alamogordo, NM Micro Area",65130,35.6,43533,21876,31561,15169,8488,64.12,106300,818,28.7,-0.31,4.89
2016,10460,"Alamogordo, NM Micro Area",65333,35.7,41502,20652,30976,14798,8245,64.22,105000,827,28.2,0.02,4.34
2015,10460,"Alamogordo, NM Micro Area",65318,35.6,39775,19457,30967,15218,8450,64.30,101800,791,28.5,-0.15,-2.07
2014,10460,"Alamogordo, NM Micro Area",65415,35.6,40614,19803,30982,15475,8432,64.73,101400,775,27.2,1.00,3.44
2013,10460,"Alamogordo, NM Micro Area",64767,35.6,39263,19880,30918,15880,8065,66.32,102400,730,27.3,0.92,0.54
2012,10460,"Alamogordo, NM Micro Area",64176,36.1,39054,19834,30946,16215,7900,67.24,105300,694,26.9,1.07,1.21
2011,10460,"Alamogordo, NM Micro Area",63494,36.2,38588,20067,30958,16385,7990,67.22,105900,638,26.9,1.13,-2.59
2010,10460,"Alamogordo, NM Micro Area",62782,36.5,39615,19255,30913,16234,7797,67.55,104500,582,26.9,,
2023,10480,"Alamosa, CO Micro Area",27622,36.0,48011,29009,13624,7260,3996,64.50,191800,874,28.4,,
2023,10500,"Albany, GA Metro Area",146768,38.2,54219,29495,67030,32361,25110,56.31,148800,922,30.4,-0.64,1.97
2022,10500,"Albany, GA Metro Area",147716,37.5,53173,28313,66791,32360,24683,56.73,139900,912,30.6,-1.06,7.42
2021,10500,"Albany, GA Metro Area",149298,37.6,49500,26080,66526,32091,25013,56.20,126000,826,30.1,1.27,6.86
2020,10500,"Albany, GA Metro Area",147431,37.3,46323,24385,65443,31230,24890,55.65,120200,779,30.6,-0.68,3.30
2019,10500,"Albany, GA Metro Area",148436,36.9,44844,23715,65314,30225,25489,54.25,117700,756,30.1,-3.05,4.63
2018,10500,"Albany, GA Metro Area",153101,36.7,42861,22848,67086,31409,26395,54.34,114700,740,30.3,-0.44,5.54
2017,10500,"Albany, GA Metro Area",153776,36.6,40612,21717,66842,31458,26186,54.57,111700,707,31.7,-0.68,5.01
2016,10500,"Albany, GA Metro Area",154830,36.3,38674,21688,66524,32084,25711,55.51,108300,695,32.5,-0.70,3.40
2015,10500,"Albany, GA Metro Area",155917,35.8,37404,20516,66344,32129,25868,55.40,106100,700,32.9,-0.50,1.63
2014,10500,"Albany, GA Metro Area",156706,35.7,36805,20242,66257,32825,25425,56.35,103900,710,34.1,-0.30,2.56
2013,10500,"Albany, GA Metro Area",157177,35.4,35885,19879,66050,33238,24772,57.30,106300,697,33.9,-0.29,-0.91
2012,10500,"Albany, GA Metro Area",157634,35.2,36216,20105,66342,33618,24799,57.55,104500,671,33.6,0.00,-1.08
2011,10500,"Albany, GA Metro Area",157632,34.9,36613,19800,66090,33566,24697,57.61,104800,651,32.0,0.07,-0.58
2010,10500,"Albany, GA Metro Area",157528,34.7,36828,19629,66272,33519,24847,57.43,104200,615,30.7,,
2023,10540,"Albany, OR Metro Area",129794,40.2,73396,34422,52740,33881,16653,67.05,344600,1273,29.8,0.93,5.57
2022,10540,"Albany-Lebanon, OR Metro Area",128598,40.0,69523,32501,52145,33445,16499,66.97,319800,1160,30.0,1.10,9.81
2021,10540,"Albany-Lebanon, OR Metro Area",127200,39.9,63313,29598,51515,32758,16355,66.70,265900,1087,30.1,-0.01,6.32
2020,10540,"Albany-Lebanon, OR Metro Area",127216,39.9,59547,27820,50936,32082,16208,66.44,240200,1037,30.2,1.73,6.54
2019,10540,"Albany-Lebanon, OR Metro Area",125048,39.6,55893,27345,50416,30748,17014,64.38,221600,964,29.5,1.77,7.29
2018,10540,"Albany, OR Metro Area",122870,39.7,52097,25781,50011,29910,17120,63.60,200900,928,30.7,1.48,5.21
2017,10540,"Albany, OR Metro Area",121074,39.7,49515,24448,49688,29649,16616,64.09,184900,888,31.5,1.01,5.84
2016,10540,"Albany, OR Metro Area",119862,39.5,46782,22934,49096,29268,16110,64.50,173100,850,32.3,0.75,2.49
2015,10540,"Albany, OR Metro Area",118971,39.5,45644,21706,49005,28988,16112,64.27,170300,810,32.3,0.59,1.51
2014,10540,"Albany, OR Metro Area",118270,39.4,44965,21363,48988,29529,15413,65.70,171700,808,33.2,0.53,-4.21
2013,10540,"Albany, OR Metro Area",117648,39.1,46939,21500,48795,29852,14870,66.75,173600,798,31.6,0.66,-0.40
2012,10540,"Albany-Lebanon, OR Micro Area",116871,39.0,47129,21911,48718,29735,14831,66.72,176800,777,30.2,0.95,0.55
2011,10540,"Albany-Lebanon, OR Micro Area",115776,38.9,46872,22255,48461,29991,14796,66.96,181600,756,29.1,1.28,2.27
2010,10540,"Albany-Lebanon, OR Micro Area",114315,39.0,45832,22165,48007,30259,14116,68.19,180300,737,29.3,,
2023,10580,"Albany-Schenectady-Troy, NY Metro Area",902372,40.5,86072,47155,420069,241774,135785,64.04,268400,1230,28.1,0.07,3.25
2022,10580,"Albany-Schenectady-Troy, NY Metro Area",901729,40.3,83360,44919,417778,237513,135406,63.69,254100,1181,27.8,0.39,7.20
2021,10580,"Albany-Schenectady-Troy, NY Metro Area",898265,40.3,77758,41282,415620,235901,132171,64.09,227400,1094,27.3,1.99,6.80
2020,10580,"Albany-Schenectady-Troy, NY Metro Area",880766,40.2,72810,38998,410107,228562,131172,63.54,221200,1039,27.3,0.00,2.14
2019,10580,"Albany-Schenectady-Troy, NY Metro Area",880736,40.0,71285,37557,407696,225446,127267,63.92,213600,1013,28.2,0.03,3.84
2018,10580,"Albany-Schenectady-Troy, NY Metro Area",880481,40.0,68651,36255,405385,224214,126087,64.01,208200,983,28.5,-0.16,4.42
2017,10580,"Albany-Schenectady-Troy, NY Metro Area",881862,40.0,65743,34770,403044,224766,124559,64.34,203300,956,28.9,0.29,3.11
2016,10580,"Albany-Schenectady-Troy, NY Metro Area",879291,39.9,63758,33284,397658,223411,122546,64.58,200100,923,28.9,0.16,2.37
2015,10580,"Albany-Schenectady-Troy, NY Metro Area",877846,40.0,62283,32272,396148,224922,121066,65.01,197400,909,29.1,0.26,0.71
2014,10580,"Albany-Schenectady-Troy, NY Metro Area",875567,39.9,61841,32069,395107,226423,120978,65.18,196800,905,29.2,0.27,0.90
2013,10580,"Albany-Schenectady-Troy, NY Metro Area",873238,39.8,61291,31698,393628,227603,118678,65.73,197500,889,29.2,0.27,0.74
2012,10580,"Albany-Schenectady-Troy, NY Metro Area",870890,39.7,60841,31183,392780,228699,116769,66.20,197900,874,28.8,0.31,2.53
2011,10580,"Albany-Schenectady-Troy, NY Metro Area",868231,39.5,59339,30719,391735,229295,116641,66.28,194900,859,29.0,0.26,2.70
2010,10580,"Albany-Schenectady-Troy, NY Metro Area",865982,39.2,57781,29758,389620,229151,116988,66.20,189600,831,28.5,,
2023,10620,"Albemarle, NC Micro Area",63557,40.6,61631,31623,28292,17997,6439,73.65,214300,830,25.1,1.33,1.64
2022,10620,"Albemarle, NC Micro Area",62723,41.4,60634,30857,27802,17797,5976,74.86,190700,816,25.8,0.93,7.39
2021,10620,"Albemarle, NC Micro Area",62148,41.9,56462,28334,27600,17558,6075,74.29,161900,764,24.6,0.16,4.36
2020,10620,"Albemarle, NC Micro Area",62050,42.0,54104,26956,28007,17821,6028,74.72,150400,753,25.8,0.75,2.81
2019,10620,"Albemarle, NC Micro Area",61588,42.2,52623,25863,27805,17355,5977,74.38,138900,708,25.1,0.78,6.12
2018,10620,"Albemarle, NC Micro Area",61114,42.3,49590,24671,27638,17435,6282,73.51,134100,712,27.3,0.39,7.76
2017,10620,"Albemarle, NC Micro Area",60875,42.4,46017,23398,27495,17293,6566,72.48,133000,681,28.9,0.44,4.25
2016,10620,"Albemarle, NC Micro Area",60610,42.1,44140,22103,27282,16933,6655,71.79,129300,675,29.7,0.04,7.90
2015,10620,"Albemarle, NC Micro Area",60586,41.8,40910,20990,27216,16815,6852,71.05,128200,653,32.4,0.05,-2.62
2014,10620,"Albemarle, NC Micro Area",60553,41.6,42010,20880,27178,17020,6464,72.47,128000,645,32.0,0.04,-1.19
2013,10620,"Albemarle, NC Micro Area",60529,41.1,42518,20504,27103,16924,6184,73.24,125100,638,30.6,0.07,-1.71
2012,10620,"Albemarle, NC Micro Area",60489,40.5,43256,20954,27118,17172,5982,74.16,124500,637,29.1,0.16,-0.39
2011,10620,"Albemarle, NC Micro Area",60394,40.3,43424,20868,27013,16925,5704,74.79,127800,605,25.3,0.47,-3.08
2010,10620,"Albemarle, NC Micro Area",60109,39.9,44802,21139,26904,17031,5103,76.94,125600,584,24.1,,
2023,10660,"Albert Lea, MN Micro Area",30752,43.9,69012,38696,14116,10221,2664,79.32,164900,837,26.9,-0.34,5.07
2022,10660,"Albert Lea, MN Micro Area",30857,44.1,65679,36751,14150,10100,2790,78.36,154700,803,24.9,-0.08,9.72
2021,10660,"Albert Lea, MN Micro Area",30882,43.7,59862,32760,14139,10101,2743,78.64,132100,743,27.3,1.37,9.58
2020,10660,"Albert Lea, MN Micro Area",30465,44.5,54628,30760,14371,10042,2963,77.22,121600,723,28.1,0.01,1.86
2019,10660,"Albert Lea, MN Micro Area",30463,44.0,53631,29316,14357,9975,3034,76.68,113800,681,26.1,-0.21,2.26
2018,10660,"Albert Lea, MN Micro Area",30526,44.2,52447,28459,14310,9774,3196,75.36,111400,668,27.0,-0.30,2.49
2017,10660,"Albert Lea, MN Micro Area",30619,44.3,51174,27603,14291,9958,3000,76.85,105100,642,27.1,-0.43,4.81
2016,10660,"Albert Lea, MN Micro Area",30751,44.4,48827,27332,14251,9858,3188,75.56,106600,616,25.3,-0.47,3.66
2015,10660,"Albert Lea, MN Micro Area",30897,44.6,47105,26494,14192,9925,3068,76.39,104800,598,27.0,-0.44,3.37
2014,10660,"Albert Lea, MN Micro Area",31034,44.5,45569,26083,14209,9935,3142,75.97,102700,554,26.9,-0.31,1.98
2013,10660,"Albert Lea, MN Micro Area",31129,44.5,44683,25668,14221,10228,3002,77.31,104000,546,26.6,-0.19,1.64
2012,10660,"Albert Lea, MN Micro Area",31188,44.4,43962,25645,14219,10221,3076,76.87,107900,553,26.6,-0.36,1.19
2011,10660,"Albert Lea, MN Micro Area",31301,44.4,43447,24409,14227,10439,2771,79.02,109500,559,27.7,-0.27,0.83
2010,10660,"Albert Lea, MN Micro Area",31387,44.1,43090,23645,14218,10598,2588,80.37,111800,539,26.9,,
2023,10700,"Albertville, AL Micro Area",98712,38.6,60946,31025,41531,27144,8819,75.48,183400,765,27.1,0.81,4.59
2022,10700,"Albertville, AL Micro Area",97923,38.8,58272,29509,41328,27083,8847,75.38,165600,746,27.3,0.77,10.08
2021,10700,"Albertville, AL Micro Area",97179,39.0,52938,27333,41129,26522,8917,74.84,147600,683,27.5,1.08,5.42
2020,10700,"Albertville, AL Micro Area",96137,39.2,50216,25861,40661,25598,9517,72.90,141300,650,27.5,0.52,9.21
2019,10700,"Albertville, AL Micro Area",95643,38.8,45983,24453,40597,24480,10403,70.18,128800,649,27.7,0.52,8.22
2018,10700,"Albertville, AL Micro Area",95145,38.7,42490,23833,40630,24555,10341,70.37,122500,632,27.9,0.43,3.37
2017,10700,"Albertville, AL Micro Area",94738,38.8,41104,22710,40590,24437,10151,70.65,118500,615,28.5,0.22,3.20
2016,10700,"Albertville, AL Micro Area",94534,38.8,39831,21767,40352,24342,10119,70.64,115700,604,27.7,0.23,2.18
2015,10700,"Albertville, AL Micro Area",94318,38.8,38983,21363,40370,24605,9656,71.82,115500,594,27.8,0.21,-1.24
2014,10700,"Albertville, AL Micro Area",94121,38.6,39473,20975,40329,24768,9756,71.74,114600,593,27.3,0.45,-0.13
2013,10700,"Albertville, AL Micro Area",93699,38.4,39526,20382,40225,24617,9633,71.87,114000,594,27.8,0.68,2.27
2012,10700,"Albertville, AL Micro Area",93070,38.1,38649,20480,40222,24772,9624,72.02,109800,596,27.8,1.11,0.22
2011,10700,"Albertville, AL Micro Area",92052,38.2,38563,20590,40150,24987,9600,72.24,107000,587,29.2,1.30,2.40
2010,10700,"Albertville, AL Micro Area",90867,38.0,37661,19875,39839,24955,9478,72.47,101300,550,28.6,,
2023,10740,"Albuquerque, NM Metro Area",918567,39.6,67995,38300,398671,255568,116338,68.72,263500,1102,30.8,0.28,6.29
2022,10740,"Albuquerque, NM Metro Area",915968,39.1,63971,36043,395967,249016,118861,67.69,242600,1035,30.8,0.28,9.66
2021,10740,"Albuquerque, NM Metro Area",913388,38.7,58335,32622,393319,242361,119815,66.92,210700,952,30.6,-0.28,5.35
2020,10740,"Albuquerque, NM Metro Area",915986,38.5,55370,30397,392001,240755,116690,67.35,199700,908,30.4,0.43,2.40
2019,10740,"Albuquerque, NM Metro Area",912108,38.2,54072,29747,389606,235397,115957,67.00,192800,892,30.7,0.23,3.99
