year,zcta,total_population,median_age,median_household_income,per_capita_income,total_housing_units,owner_occupied_units,renter_occupied_units,homeownership_rate,median_home_value,median_gross_rent,rent_as_pct_of_income
2023,71260,3232,37.7,32386,18338,1666,1034,250,80.53,80900,543,27.6
2023,71261,1429,60.2,30568,23669,941,459,226,67.01,104500,582,23.3
2023,71263,6241,42.9,44965,31405,3244,2086,654,76.13,94000,662,27.4
2023,71264,1167,35.3,64861,27421,523,299,92,76.47,156300,-666666666,-666666666.0
2023,71266,1783,30.7,59536,21701,753,402,171,70.16,116700,823,14.0
2023,71268,2262,52.0,57697,39729,1151,856,141,85.86,143900,922,34.4
2023,71269,12475,37.3,51334,25914,5046,2763,1528,64.39,136700,774,27.1
2023,71270,32747,28.4,37599,25720,14238,6339,6439,49.61,218600,819,41.3
2023,71272,2035,19.8,-666666666,4107,0,0,0,NaN,-666666666,-666666666,-666666666.0
2023,71275,2565,46.4,36731,28567,1489,948,318,74.88,93700,965,34.5
2023,71276,223,61.2,-666666666,34652,143,108,0,100.00,-666666666,-666666666,-666666666.0
2023,71277,1792,38.5,34183,20671,921,411,292,58.46,84500,1614,32.4
2023,71279,68,-666666666.0,-666666666,,26,0,26,0.00,-666666666,-666666666,-666666666.0
2023,71280,4999,39.6,75768,43945,2280,1422,559,71.78,260000,1043,24.9
2023,71282,8998,34.1,37344,18563,3889,1487,1271,53.92,91200,618,29.7
2023,71286,436,50.3,45000,30917,243,226,0,100.00,91700,-666666666,-666666666.0
2023,71291,35345,38.1,69012,34574,15290,8916,4851,64.76,219700,974,28.3
2023,71292,21866,41.7,51317,31944,10257,5907,2603,69.41,119700,885,41.2
2023,71295,14008,36.9,43223,24118,6151,3819,1378,73.48,111000,746,28.5
2023,71301,17266,40.0,44330,29025,9173,3387,3432,49.67,156700,919,36.1
2023,71302,14128,34.6,36210,21598,6213,2824,2255,55.60,103300,868,38.7
2023,71303,24532,37.9,66761,36187,10388,5276,4006,56.84,232900,1115,28.5
2023,71316,42,69.3,-666666666,48614,63,18,0,100.00,-666666666,-666666666,-666666666.0
2023,71320,108,45.0,-666666666,20744,163,58,19,75.32,277300,-666666666,-666666666.0
2023,71322,5257,48.8,25655,24318,3117,1333,984,57.53,88500,738,45.2
2023,71323,1103,38.5,-666666666,14265,445,263,62,80.92,178600,-666666666,-666666666.0
2023,71325,1132,48.1,44150,26415,528,338,103,76.64,172200,729,20.7
2023,71326,751,48.2,-666666666,21690,555,300,81,78.74,-666666666,454,41.3
2023,71327,6100,34.9,34690,16438,1851,1037,445,69.97,105900,731,40.7
2023,71328,8081,36.3,65517,31974,3294,2723,299,90.11,166700,912,13.8
2023,71330,49,-666666666.0,-666666666,,25,25,0,100.00,-666666666,-666666666,-666666666.0
2023,71331,765,43.9,-666666666,28992,409,346,8,97.74,101200,-666666666,-666666666.0
2023,71333,412,59.4,26458,28447,329,181,30,85.78,-666666666,325,35.8
2023,71334,9382,36.2,33592,20269,4020,1962,1038,65.40,80200,666,39.9
2023,71336,1404,44.7,47037,26980,776,464,128,78.38,137900,617,9.0
2023,71339,0,-666666666.0,-666666666,-666666666,0,0,0,NaN,-666666666,-666666666,-666666666.0
2023,71340,1970,36.3,49632,21881,510,303,94,76.32,104000,579,9.0
2023,71341,2901,35.9,43720,22817,1292,719,330,68.54,122600,1035,33.8
2023,71342,7389,41.0,80556,35702,3556,2337,557,80.75,154000,533,28.4
2023,71343,6571,38.8,46362,22326,3518,1919,516,78.81,85700,849,45.2
2023,71345,35,-666666666.0,-666666666,,35,0,35,0.00,-666666666,-666666666,-666666666.0
2023,71346,2700,45.7,46056,26417,1424,873,237,78.65,174000,712,20.0
2023,71350,4556,37.8,50962,27121,2056,1220,554,68.77,149500,690,25.4
2023,71351,11494,36.1,48006,26117,5448,2814,1586,63.95,155800,774,30.2
2023,71353,1609,42.9,41875,22540,843,554,88,86.29,121700,-666666666,31.7
2023,71354,1382,38.4,44961,23532,648,386,37,91.25,103400,-666666666,-666666666.0
2023,71355,2192,42.7,47263,27606,1221,669,268,71.40,139800,674,27.7
2023,71356,585,37.1,-666666666,17012,198,198,0,100.00,76100,-666666666,-666666666.0
2023,71357,1448,55.1,32308,22735,1093,445,223,66.62,57500,540,29.8
2023,71358,1006,45.0,43750,27298,559,271,140,65.94,114400,851,32.5
2023,71359,293,20.1,-666666666,7313,0,0,0,NaN,-666666666,-666666666,-666666666.0
2023,71360,35649,37.7,59592,33671,15970,9199,4568,66.82,196300,924,29.5
2023,71362,2315,36.1,45227,21148,935,603,203,74.81,112300,500,30.8
2023,71366,1454,47.0,46806,26601,1145,451,182,71.25,103300,725,29.5
2023,71367,2007,48.4,64134,31917,814,583,202,74.27,119400,669,9.0
2023,71368,1313,40.9,33036,18128,818,386,153,71.61,90000,619,38.8
2023,71369,2255,39.9,36462,24745,1150,668,224,74.89,88100,566,39.8
2023,71371,1963,34.1,66800,37367,802,509,9,98.26,171600,-666666666,-666666666.0
2023,71373,5754,39.9,43785,28849,3326,1673,768,68.54,119800,924,29.3
2023,71375,1090,37.5,25455,14440,558,238,90,72.56,62300,478,27.5
2023,71378,2187,49.9,37841,25610,1093,528,321,62.19,124200,719,38.8
2023,71401,44,49.7,-666666666,,20,20,0,100.00,-666666666,-666666666,-666666666.0
2023,71403,3792,40.9,70925,33626,2051,1233,212,85.33,119700,1420,24.4
2023,71404,742,44.8,43549,37761,461,295,70,80.82,-666666666,-666666666,-666666666.0
2023,71405,5384,33.7,72744,32956,2261,1661,291,85.09,176900,1146,27.8
2023,71406,87,6.6,-666666666,,65,12,21,36.36,-666666666,-666666666,-666666666.0
2023,71407,1293,43.4,-666666666,56828,569,394,91,81.24,-666666666,-666666666,-666666666.0
2023,71409,5672,45.0,59764,34768,2848,1458,631,69.79,176800,907,23.8
2023,71410,83,34.9,-666666666,9936,40,27,0,100.00,-666666666,-666666666,-666666666.0
2023,71411,2467,42.9,41595,24614,1624,783,428,64.66,114000,600,34.8
2023,71414,203,56.2,40469,18235,99,34,19,64.15,51700,961,51.0
2023,71415,310,52.6,29926,27543,147,90,43,67.67,-666666666,782,34.2
2023,71416,680,50.9,41648,32519,488,184,125,59.55,86100,622,12.7
2023,71417,4681,42.1,49353,26489,2348,1384,416,76.89,106600,785,32.7
2023,71418,5351,34.9,31975,26824,2807,1350,682,66.44,89700,696,33.9
2023,71419,1865,46.8,61715,34626,1002,632,63,90.94,109100,767,22.3
2023,71422,1751,36.7,41827,31063,756,548,139,79.77,111500,839,36.3
2023,71423,5058,37.8,62819,26684,2273,1624,200,89.04,123700,944,31.2
2023,71424,1401,33.7,63068,33956,546,480,36,93.02,124300,-666666666,-666666666.0
2023,71425,10,-666666666.0,-666666666,,46,10,0,100.00,-666666666,-666666666,-666666666.0
2023,71426,123,64.5,35833,17507,68,33,7,82.50,71000,-666666666,-666666666.0
