period_date,cbsa_code,total_nonfarm_employment,employment_yoy
2016-03-01,10180,52832,
2016-06-01,10180,52938,
2016-09-01,10180,53165,
2016-12-01,10180,53216,
2017-03-01,10180,53355,
2017-06-01,10180,53662,1.37
2017-09-01,10180,54141,1.84
2017-12-01,10180,54636,2.67
2018-03-01,10180,54702,2.52
2018-06-01,10180,55562,3.54
2018-09-01,10180,55364,2.26
2018-12-01,10180,56072,2.63
2019-03-01,10180,56295,2.91
2019-06-01,10180,57190,2.93
2019-09-01,10180,58053,4.86
2019-12-01,10180,58696,4.68
2020-03-01,10180,57654,
2020-06-01,10180,53834,-5.87
2020-09-01,10180,54893,-5.44
2020-12-01,10180,56621,-3.54
2021-03-01,10180,56149,
2021-06-01,10180,56588,5.12
2021-09-01,10180,57193,4.19
2021-12-01,10180,58651,3.59
2022-03-01,10180,58858,4.82
2022-06-01,10180,59021,4.3
2022-09-01,10180,60151,5.17
2022-12-01,10180,60982,3.97
2023-03-01,10180,60408,2.63
2023-06-01,10180,60847,3.09
2023-09-01,10180,61141,1.65
2023-12-01,10180,61228,0.4
2024-03-01,10180,61173,
2024-06-01,10180,61749,1.48
2024-09-01,10180,62323,1.93
2024-12-01,10180,62056,1.35
2025-03-01,10180,61676,
2025-06-01,10180,61468,-0.46
2016-03-01,10380,35946,
2016-06-01,10380,35531,
2016-09-01,10380,35923,
2016-12-01,10380,37732,
2017-03-01,10380,37064,
2017-06-01,10380,37258,4.86
2017-09-01,10380,36191,0.75
2017-12-01,10380,36279,-3.85
2018-03-01,10380,36558,-1.37
2018-06-01,10380,37298,0.11
2018-09-01,10380,37367,3.25
2018-12-01,10380,38588,6.36
2019-03-01,10380,37926,3.74
2019-06-01,10380,37606,0.83
2019-09-01,10380,38045,1.81
2019-12-01,10380,39492,2.34
2020-03-01,10380,38591,
2020-06-01,10380,34569,-8.08
2020-09-01,10380,36231,-4.77
2020-12-01,10380,38346,-2.9
2021-03-01,10380,38078,
2021-06-01,10380,39692,14.82
2021-09-01,10380,41031,13.25
2021-12-01,10380,43506,13.46
2022-03-01,10380,43713,14.8
2022-06-01,10380,44377,11.8
2022-09-01,10380,44347,8.08
2022-12-01,10380,46611,7.14
2023-03-01,10380,44866,2.64
2023-06-01,10380,45356,2.21
2023-09-01,10380,45806,3.29
2023-12-01,10380,47560,2.04
2024-03-01,10380,42126,
2024-06-01,10380,41601,-8.28
2024-09-01,10380,41594,-9.2
2024-12-01,10380,42973,-9.64
2025-03-01,10380,42035,
2025-06-01,10380,41730,0.31
2016-03-01,10420,275916,
2016-06-01,10420,284182,
2016-09-01,10420,284135,
2016-12-01,10420,283361,
2017-03-01,10420,277062,
2017-06-01,10420,286372,0.77
2017-09-01,10420,284667,0.19
2017-12-01,10420,284232,0.31
2018-03-01,10420,277727,0.24
2018-06-01,10420,286265,-0.04
2018-09-01,10420,283735,-0.33
2018-12-01,10420,284320,0.03
2019-03-01,10420,278636,0.33
2019-06-01,10420,286509,0.09
2019-09-01,10420,283363,-0.13
2019-12-01,10420,286312,0.7
2020-03-01,10420,278656,
2020-06-01,10420,262169,-8.5
2020-09-01,10420,266320,-6.01
2020-12-01,10420,268647,-6.17
2021-03-01,10420,264984,
2021-06-01,10420,273059,4.15
2021-09-01,10420,269297,1.12
2021-12-01,10420,274313,2.11
2022-03-01,10420,269084,1.55
2022-06-01,10420,278618,2.04
2022-09-01,10420,278535,3.43
2022-12-01,10420,280069,2.1
2023-03-01,10420,277371,3.08
2023-06-01,10420,283805,1.86
2023-09-01,10420,280576,0.73
2023-12-01,10420,280603,0.19
2024-03-01,10420,276319,
2024-06-01,10420,282935,-0.31
2024-09-01,10420,279877,-0.25
2024-12-01,10420,280148,-0.16
2025-03-01,10420,275750,
2025-06-01,10420,281445,-0.53
2016-03-01,10500,46582,
2016-06-01,10500,46625,
2016-09-01,10500,47584,
2016-12-01,10500,49084,
2017-03-01,10500,48853,
2017-06-01,10500,48026,3
2017-09-01,10500,48301,1.51
2017-12-01,10500,48492,-1.21
2018-03-01,10500,48426,-0.87
2018-06-01,10500,47915,-0.23
2018-09-01,10500,48571,0.56
2018-12-01,10500,49277,1.62
2019-03-01,10500,48610,0.38
2019-06-01,10500,48920,2.1
2019-09-01,10500,48517,-0.11
2019-12-01,10500,49286,0.02
2020-03-01,10500,48777,
2020-06-01,10500,45776,-6.43
2020-09-01,10500,45895,-5.4
2020-12-01,10500,47035,-4.57
2021-03-01,10500,46661,
2021-06-01,10500,46928,2.52
2021-09-01,10500,46903,2.2
2021-12-01,10500,48021,2.1
2022-03-01,10500,47441,1.67
2022-06-01,10500,47631,1.5
2022-09-01,10500,48425,3.24
2022-12-01,10500,49292,2.65
2023-03-01,10500,48529,2.29
2023-06-01,10500,47601,-0.06
2023-09-01,10500,47713,-1.47
2023-12-01,10500,48518,-1.57
2024-03-01,10500,47638,
2024-06-01,10500,47696,0.2
2024-09-01,10500,47065,-1.36
2024-12-01,10500,48495,-0.05
2025-03-01,10500,47312,
2025-06-01,10500,46791,-1.9
2016-03-01,10540,37027,
2016-06-01,10540,37866,
2016-09-01,10540,38355,
2016-12-01,10540,38065,
2017-03-01,10540,37602,
2017-06-01,10540,38669,2.12
2017-09-01,10540,39352,2.6
2017-12-01,10540,39127,2.79
2018-03-01,10540,39948,6.24
2018-06-01,10540,40547,4.86
2018-09-01,10540,41132,4.52
2018-12-01,10540,40998,4.78
2019-03-01,10540,40698,1.88
2019-06-01,10540,41242,1.71
2019-09-01,10540,41790,1.6
2019-12-01,10540,41258,0.63
2020-03-01,10540,40681,
2020-06-01,10540,38845,-5.81
2020-09-01,10540,39420,-5.67
2020-12-01,10540,39222,-4.93
2021-03-01,10540,40260,
2021-06-01,10540,41164,5.97
2021-09-01,10540,41323,4.83
2021-12-01,10540,41861,6.73
2022-03-01,10540,42308,5.09
2022-06-01,10540,42677,3.68
2022-09-01,10540,42839,3.67
2022-12-01,10540,42198,0.81
2023-03-01,10540,42058,-0.59
2023-06-01,10540,43122,1.04
2023-09-01,10540,42456,-0.89
2023-12-01,10540,41818,-0.9
2024-03-01,10540,41350,
2024-06-01,10540,41645,-3.43
2024-09-01,10540,42841,0.91
2024-12-01,10540,41991,0.41
2025-03-01,10540,41478,
2025-06-01,10540,41982,0.81
2016-03-01,10580,335618,
2016-06-01,10580,347354,
2016-09-01,10580,345305,
2016-12-01,10580,346290,
2017-03-01,10580,339759,
2017-06-01,10580,352388,1.45
2017-09-01,10580,350814,1.6
2017-12-01,10580,351471,1.5
2018-03-01,10580,343503,1.1
2018-06-01,10580,356936,1.29
2018-09-01,10580,353366,0.73
2018-12-01,10580,351953,0.14
2019-03-01,10580,343663,0.05
2019-06-01,10580,354668,-0.64
2019-09-01,10580,352964,-0.11
2019-12-01,10580,350968,-0.28
2020-03-01,10580,342141,
2020-06-01,10580,304545,-14.13
2020-09-01,10580,323756,-8.28
2020-12-01,10580,322279,-8.17
2021-03-01,10580,318096,
2021-06-01,10580,330370,8.48
2021-09-01,10580,333300,2.95
2021-12-01,10580,337155,4.62
2022-03-01,10580,330534,3.91
2022-06-01,10580,344405,4.25
2022-09-01,10580,342612,2.79
2022-12-01,10580,341133,1.18
2023-03-01,10580,339644,2.76
2023-06-01,10580,353149,2.54
2023-09-01,10580,347497,1.43
2023-12-01,10580,345781,1.36
2024-03-01,10580,345250,
2024-06-01,10580,356638,0.99
2024-09-01,10580,353257,1.66
2024-12-01,10580,354001,2.38
2025-03-01,10580,347778,
2025-06-01,10580,359408,0.78
2016-03-01,10740,288158,
2016-06-01,10740,293632,
2016-09-01,10740,295922,
2016-12-01,10740,296299,
2017-03-01,10740,293544,
2017-06-01,10740,299019,1.83
2017-09-01,10740,298668,0.93
2017-12-01,10740,300078,1.28
2018-03-01,10740,297884,1.48
2018-06-01,10740,303157,1.38
2018-09-01,10740,301901,1.08
2018-12-01,10740,304522,1.48
2019-03-01,10740,302401,1.52
2019-06-01,10740,307469,1.42
2019-09-01,10740,308124,2.06
2019-12-01,10740,312173,2.51
2020-03-01,10740,305983,
2020-06-01,10740,276747,-9.99
2020-09-01,10740,285241,-7.43
2020-12-01,10740,284534,-8.85
2021-03-01,10740,289884,
2021-06-01,10740,296425,7.11
2021-09-01,10740,300347,5.3
2021-12-01,10740,308815,8.53
2022-03-01,10740,309008,6.6
2022-06-01,10740,311034,4.93
2022-09-01,10740,316292,5.31
2022-12-01,10740,320607,3.82
2023-03-01,10740,318111,2.95
2023-06-01,10740,323182,3.91
2023-09-01,10740,321936,1.78
2023-12-01,10740,325387,1.49
2024-03-01,10740,321336,
2024-06-01,10740,325280,0.65
2024-09-01,10740,326545,1.43
2024-12-01,10740,326289,0.28
2025-03-01,10740,323210,
2025-06-01,10740,324796,-0.15
2016-03-01,10780,48507,
2016-06-01,10780,49007,
2016-09-01,10780,48193,
2016-12-01,10780,47768,
2017-03-01,10780,46823,
2017-06-01,10780,47235,-3.62
2017-09-01,10780,47195,-2.07
2017-12-01,10780,47325,-0.93
2018-03-01,10780,46827,0.01
2018-06-01,10780,47085,-0.32
2018-09-01,10780,46582,-1.3
2018-12-01,10780,46876,-0.95
2019-03-01,10780,46387,-0.94
2019-06-01,10780,46972,-0.24
2019-09-01,10780,46760,0.38
2019-12-01,10780,47094,0.47
2020-03-01,10780,46017,
2020-06-01,10780,43715,-6.93
2020-09-01,10780,44420,-5
2020-12-01,10780,46027,-2.27
2021-03-01,10780,45655,
2021-06-01,10780,46194,5.67
2021-09-01,10780,46054,3.68
2021-12-01,10780,46908,1.91
2022-03-01,10780,46310,1.43
2022-06-01,10780,47256,2.3
2022-09-01,10780,47666,3.5
2022-12-01,10780,47629,1.54
2023-03-01,10780,46483,0.37
2023-06-01,10780,46542,-1.51
2023-09-01,10780,46546,-2.35
2023-12-01,10780,46944,-1.44
2024-03-01,10780,46261,
2024-06-01,10780,46885,0.74
2024-09-01,10780,46555,0.02
2024-12-01,10780,46775,-0.36
2025-03-01,10780,46663,
2025-06-01,10780,47163,0.59
2016-03-01,10900,303045,
2016-06-01,10900,313680,
2016-09-01,10900,313165,
2016-12-01,10900,314740,
2017-03-01,10900,307951,
2017-06-01,10900,319019,1.7
2017-09-01,10900,316599,1.1
2017-12-01,10900,318897,1.32
2018-03-01,10900,312231,1.39
2018-06-01,10900,323173,1.3
2018-09-01,10900,319984,1.07
2018-12-01,10900,322530,1.14
2019-03-01,10900,318031,1.86
2019-06-01,10900,327080,1.21
2019-09-01,10900,324890,1.53
2019-12-01,10900,328622,1.89
2020-03-01,10900,317641,
2020-06-01,10900,285784,-12.63
2020-09-01,10900,299754,-7.74
2020-12-01,10900,307189,-6.52
2021-03-01,10900,306488,
2021-06-01,10900,314808,10.16
2021-09-01,10900,316072,5.44
2021-12-01,10900,324476,5.63
2022-03-01,10900,319468,4.24
2022-06-01,10900,327898,4.16
2022-09-01,10900,326550,3.32
2022-12-01,10900,329683,1.6
2023-03-01,10900,327227,2.43
2023-06-01,10900,335722,2.39
2023-09-01,10900,332231,1.74
2023-12-01,10900,336567,2.09
2024-03-01,10900,328105,
2024-06-01,10900,336664,0.28
2024-09-01,10900,334806,0.78
2024-12-01,10900,336739,0.05
2025-03-01,10900,332668,
2025-06-01,10900,341729,1.5
2016-03-01,11020,50095,
2016-06-01,11020,52054,
2016-09-01,11020,51259,
2016-12-01,11020,50562,
2017-03-01,11020,50130,
2017-06-01,11020,51917,-0.26
2017-09-01,11020,51502,0.47
2017-12-01,11020,51179,1.22
2018-03-01,11020,50121,-0.02
2018-06-01,11020,51733,-0.35
2018-09-01,11020,50900,-1.17
2018-12-01,11020,50676,-0.98
2019-03-01,11020,49845,-0.55
2019-06-01,11020,51571,-0.31
2019-09-01,11020,50838,-0.12
2019-12-01,11020,51250,1.13
2020-03-01,11020,50013,
2020-06-01,11020,46690,-9.46
2020-09-01,11020,48273,-5.05
2020-12-01,11020,48233,-5.89
2021-03-01,11020,47820,
2021-06-01,11020,49677,6.4
2021-09-01,11020,49223,1.97
2021-12-01,11020,49462,2.55
2022-03-01,11020,48586,1.6
2022-06-01,11020,50412,1.48
2022-09-01,11020,49713,1
2022-12-01,11020,49259,-0.41
2023-03-01,11020,48716,0.27
2023-06-01,11020,50767,0.7
2023-09-01,11020,50375,1.33
2023-12-01,11020,50051,1.61
2024-03-01,11020,49303,
2024-06-01,11020,51317,1.08
2024-09-01,11020,51020,1.28
2024-12-01,11020,50171,0.24
2025-03-01,11020,50140,
2025-06-01,11020,51798,0.94
2016-03-01,11100,94844,
2016-06-01,11100,95699,
2016-09-01,11100,95374,
2016-12-01,11100,95819,
2017-03-01,11100,94417,
2017-06-01,11100,95338,-0.38
2017-09-01,11100,94701,-0.71
2017-12-01,11100,95199,-0.65
2018-03-01,11100,94748,0.35
2018-06-01,11100,95898,0.59
2018-09-01,11100,95395,0.73
2018-12-01,11100,95916,0.75
2019-03-01,11100,94560,-0.2
2019-06-01,11100,96459,0.58
2019-09-01,11100,95958,0.59
2019-12-01,11100,97155,1.29
2020-03-01,11100,95887,
2020-06-01,11100,93077,-3.51
2020-09-01,11100,94234,-1.8
2020-12-01,11100,95267,-1.94
2021-03-01,11100,95260,
2021-06-01,11100,97493,4.74
2021-09-01,11100,97040,2.98
2021-12-01,11100,98984,3.9
2022-03-01,11100,97974,2.85
2022-06-01,11100,100033,2.61
2022-09-01,11100,99705,2.75
2022-12-01,11100,101056,2.09
2023-03-01,11100,99441,1.5
2023-06-01,11100,101376,1.34
2023-09-01,11100,101665,1.97
2023-12-01,11100,102106,1.04
2024-03-01,11100,101840,
2024-06-01,11100,103627,2.22
2024-09-01,11100,102974,1.29
2024-12-01,11100,103743,1.6
2025-03-01,11100,102628,
2025-06-01,11100,104603,0.94
2016-03-01,11180,30587,
2016-06-01,11180,30922,
2016-09-01,11180,31550,
2016-12-01,11180,31116,
2017-03-01,11180,30822,
2017-06-01,11180,31513,1.91
2017-09-01,11180,32594,3.31
2017-12-01,11180,32205,3.5
2018-03-01,11180,31644,2.67
2018-06-01,11180,31811,0.95
2018-09-01,11180,32724,0.4
2018-12-01,11180,31853,-1.09
2019-03-01,11180,31454,-0.6
2019-06-01,11180,31877,0.21
2019-09-01,11180,32522,-0.62
2019-12-01,11180,32125,0.85
2020-03-01,11180,31368,
2020-06-01,11180,29242,-8.27
2020-09-01,11180,30501,-6.21
2020-12-01,11180,30634,-4.64
2021-03-01,11180,30864,
2021-06-01,11180,31522,7.8
2021-09-01,11180,32098,5.24
2021-12-01,11180,32266,5.33
2022-03-01,11180,31987,3.64
2022-06-01,11180,32380,2.72
2022-09-01,11180,33524,4.44
2022-12-01,11180,33426,3.6
2023-03-01,11180,32598,1.91
2023-06-01,11180,33232,2.63
2023-09-01,11180,33981,1.36
2023-12-01,11180,33519,0.28
2024-03-01,11180,38884,
2024-06-01,11180,39665,19.36
2024-09-01,11180,40294,18.58
2024-12-01,11180,40001,19.34
2025-03-01,11180,38832,
2025-06-01,11180,39095,-1.44
2024-03-01,11200,48371,
2024-06-01,11200,47952,
2024-09-01,11200,48775,
2024-12-01,11200,49001,
2025-03-01,11200,47193,
2025-06-01,11200,47874,-0.16
2016-03-01,11260,137695,
2016-06-01,11260,146059,
2016-09-01,11260,144071,
2016-12-01,11260,138006,
2017-03-01,11260,135049,
2017-06-01,11260,145489,-0.39
2017-09-01,11260,142664,-0.98
2017-12-01,11260,136465,-1.12
2018-03-01,11260,135471,0.31
2018-06-01,11260,144913,-0.4
2018-09-01,11260,142960,0.21
2018-12-01,11260,137821,0.99
2019-03-01,11260,136529,0.78
2019-06-01,11260,145742,0.57
2019-09-01,11260,144079,0.78
2019-12-01,11260,138509,0.5
2020-03-01,11260,135858,
2020-06-01,11260,128335,-11.94
2020-09-01,11260,130006,-9.77
2020-12-01,11260,128012,-7.58
2021-03-01,11260,129498,
2021-06-01,11260,137928,7.47
2021-09-01,11260,137150,5.5
2021-12-01,11260,134183,4.82
2022-03-01,11260,134092,3.55
2022-06-01,11260,143499,4.04
2022-09-01,11260,141675,3.3
2022-12-01,11260,136730,1.9
2023-03-01,11260,137294,2.39
2023-06-01,11260,148662,3.6
2023-09-01,11260,146145,3.16
2023-12-01,11260,140421,2.7
2024-03-01,11260,140436,
2024-06-01,11260,150714,1.38
2024-09-01,11260,148393,1.54
2024-12-01,11260,143094,1.9
2025-03-01,11260,143079,
2025-06-01,11260,152591,1.25
2016-03-01,11460,126973,
2016-06-01,11460,130332,
2016-09-01,11460,129669,
2016-12-01,11460,130554,
2017-03-01,11460,128291,
2017-06-01,11460,132388,1.58
2017-09-01,11460,131178,1.16
2017-12-01,11460,132763,1.69
2018-03-01,11460,130311,1.57
2018-06-01,11460,134179,1.35
2018-09-01,11460,132341,0.89
2018-12-01,11460,134188,1.07
2019-03-01,11460,132923,2
2019-06-01,11460,137815,2.71
2019-09-01,11460,136746,3.33
2019-12-01,11460,137654,2.58
2020-03-01,11460,133968,
2020-06-01,11460,118347,-14.13
2020-09-01,11460,124600,-8.88
2020-12-01,11460,124016,-9.91
2021-03-01,11460,124687,
2021-06-01,11460,128732,8.78
2021-09-01,11460,129588,4
2021-12-01,11460,131764,6.25
2022-03-01,11460,128736,3.25
2022-06-01,11460,133513,3.71
2022-09-01,11460,132071,1.92
2022-12-01,11460,133434,1.27
2023-03-01,11460,131645,2.26
2023-06-01,11460,135845,1.75
2023-09-01,11460,134793,2.06
2023-12-01,11460,135125,1.27
2024-03-01,11460,132439,
2024-06-01,11460,135596,-0.18
2024-09-01,11460,134310,-0.36
2024-12-01,11460,133880,-0.92
2025-03-01,11460,133548,
2025-06-01,11460,135995,0.29
2016-03-01,11500,32067,
2016-06-01,11500,32236,
2016-09-01,11500,32247,
2016-12-01,11500,32439,
2017-03-01,11500,32730,
2017-06-01,11500,32437,0.62
2017-09-01,11500,32487,0.74
2017-12-01,11500,32625,0.57
2018-03-01,11500,32679,-0.16
2018-06-01,11500,32700,0.81
2018-09-01,11500,32472,-0.05
2018-12-01,11500,32489,-0.42
2019-03-01,11500,32332,-1.06
2019-06-01,11500,32476,-0.69
2019-09-01,11500,32325,-0.45
2019-12-01,11500,32395,-0.29
2020-03-01,11500,32393,
2020-06-01,11500,30028,-7.54
2020-09-01,11500,30725,-4.95
2020-12-01,11500,31680,-2.21
2021-03-01,11500,31362,
2021-06-01,11500,31458,4.76
2021-09-01,11500,31521,2.59
2021-12-01,11500,32284,1.91
2022-03-01,11500,31908,1.74
2022-06-01,11500,32117,2.09
2022-09-01,11500,32599,3.42
2022-12-01,11500,32898,1.9
2023-03-01,11500,32286,1.18
2023-06-01,11500,32361,0.76
2023-09-01,11500,32150,-1.38
2023-12-01,11500,32117,-2.37
2024-03-01,11500,31975,
2024-06-01,11500,32321,-0.12
2024-09-01,11500,32275,0.39
2024-12-01,11500,32254,0.43
2025-03-01,11500,31646,
2025-06-01,11500,31725,-1.84
2016-03-01,11540,106587,
2016-06-01,11540,110944,
2016-09-01,11540,109762,
2016-12-01,11540,108845,
2017-03-01,11540,107033,
2017-06-01,11540,111286,0.31
2017-09-01,11540,109693,-0.06
2017-12-01,11540,109647,0.74
2018-03-01,11540,107862,0.77
2018-06-01,11540,112676,1.25
2018-09-01,11540,110504,0.74
2018-12-01,11540,110409,0.69
2019-03-01,11540,109042,1.09
2019-06-01,11540,114040,1.21
2019-09-01,11540,111530,0.93
2019-12-01,11540,112388,1.79
2020-03-01,11540,109849,
2020-06-01,11540,106356,-6.74
2020-09-01,11540,106888,-4.16
2020-12-01,11540,107986,-3.92
2021-03-01,11540,105380,
2021-06-01,11540,110360,3.76
2021-09-01,11540,108225,1.25
2021-12-01,11540,109518,1.42
2022-03-01,11540,107705,2.21
2022-06-01,11540,111874,1.37
2022-09-01,11540,111544,3.07
2022-12-01,11540,111176,1.51
2023-03-01,11540,110659,2.74
2023-06-01,11540,114862,2.67
2023-09-01,11540,112939,1.25
2023-12-01,11540,112903,1.55
2024-03-01,11540,111237,
2024-06-01,11540,115007,0.13
2024-09-01,11540,113270,0.29
2024-12-01,11540,112718,-0.16
2025-03-01,11540,110911,
2025-06-01,11540,114771,-0.21
2016-03-01,11640,23614,
2016-06-01,11640,23142,
2016-09-01,11640,23328,
2016-12-01,11640,24884,
2017-03-01,11640,23488,
2017-06-01,11640,23775,2.74
2017-09-01,11640,23614,1.23
2017-12-01,11640,23784,-4.42
2018-03-01,11640,23272,-0.92
2018-06-01,11640,23666,-0.46
2018-09-01,11640,24273,2.79
2018-12-01,11640,25616,7.7
2019-03-01,11640,25459,9.4
2019-06-01,11640,25537,7.91
2019-09-01,11640,25802,6.3
2019-12-01,11640,27138,5.94
2020-03-01,11640,25919,
2020-06-01,11640,23454,-8.16
2020-09-01,11640,24923,-3.41
2020-12-01,11640,26385,-2.77
2021-03-01,11640,25829,
2021-06-01,11640,26276,12.03
2021-09-01,11640,26755,7.35
2021-12-01,11640,27846,5.54
2022-03-01,11640,27129,5.03
2022-06-01,11640,27368,4.16
2022-09-01,11640,27923,4.37
2022-12-01,11640,29592,6.27
2023-03-01,11640,28406,4.71
2023-06-01,11640,28912,5.64
2023-09-01,11640,29162,4.44
2023-12-01,11640,30307,2.42
2024-03-01,11640,29734,
2024-06-01,11640,30048,3.93
2024-09-01,11640,29599,1.5
2024-12-01,11640,30065,-0.8
2025-03-01,11640,29233,
2025-06-01,11640,29412,-2.12
2016-03-01,11700,157322,
2016-06-01,11700,162597,
2016-09-01,11700,162116,
2016-12-01,11700,163620,
2017-03-01,11700,160665,
2017-06-01,11700,165053,1.51
2017-09-01,11700,164434,1.43
2017-12-01,11700,166302,1.64
2018-03-01,11700,165836,3.22
2018-06-01,11700,170323,3.19
2018-09-01,11700,169193,2.89
2018-12-01,11700,169342,1.83
2019-03-01,11700,170014,2.52
2019-06-01,11700,173452,1.84
2019-09-01,11700,171468,1.34
2019-12-01,11700,172869,2.08
2020-03-01,11700,167691,
2020-06-01,11700,150307,-13.34
2020-09-01,11700,156882,-8.51
2020-12-01,11700,162820,-5.81
2021-03-01,11700,162330,
2021-06-01,11700,167084,11.16
2021-09-01,11700,167103,6.52
2021-12-01,11700,172697,6.07
2022-03-01,11700,170222,4.86
2022-06-01,11700,175857,5.25
2022-09-01,11700,174894,4.66
2022-12-01,11700,176475,2.19
2023-03-01,11700,175439,3.06
2023-06-01,11700,180478,2.63
2023-09-01,11700,177462,1.47
2023-12-01,11700,180344,2.19
2024-03-01,11700,163017,
2024-06-01,11700,166992,-7.47
2024-09-01,11700,164611,-7.24
2024-12-01,11700,158713,-11.99
2025-03-01,11700,157365,
2025-06-01,11700,161857,-3.07
2016-03-01,12020,61212,
2016-06-01,12020,61896,
2016-09-01,12020,62292,
2016-12-01,12020,63703,
2017-03-01,12020,63757,
2017-06-01,12020,63938,3.3
2017-09-01,12020,64595,3.7
2017-12-01,12020,65731,3.18
2018-03-01,12020,65753,3.13
2018-06-01,12020,64991,1.65
2018-09-01,12020,66135,2.38
2018-12-01,12020,66325,0.9
2019-03-01,12020,65468,-0.43
2019-06-01,12020,66098,1.7
2019-09-01,12020,66818,1.03
2019-12-01,12020,67854,2.31
2020-03-01,12020,65679,
2020-06-01,12020,60237,-8.87
2020-09-01,12020,61677,-7.69
2020-12-01,12020,64348,-5.17
2021-03-01,12020,64662,
2021-06-01,12020,65237,8.3
2021-09-01,12020,66405,7.67
2021-12-01,12020,67868,5.47
2022-03-01,12020,65209,0.85
2022-06-01,12020,65497,0.4
2022-09-01,12020,67139,1.11
2022-12-01,12020,68197,0.48
2023-03-01,12020,68963,5.76
2023-06-01,12020,68890,5.18
2023-09-01,12020,71000,5.75
2023-12-01,12020,71316,4.57
2024-03-01,12020,70789,
2024-06-01,12020,70636,2.53
2024-09-01,12020,71293,0.41
2024-12-01,12020,72626,1.84
2025-03-01,12020,71491,
2025-06-01,12020,71385,1.06
2016-03-01,12060,2147436,
2016-06-01,12060,2187392,
2016-09-01,12060,2199231,
2016-12-01,12060,2237762,
2017-03-01,12060,2222887,
2017-06-01,12060,2257974,3.23
2017-09-01,12060,2256690,2.61
2017-12-01,12060,2300521,2.8
2018-03-01,12060,2281637,2.64
2018-06-01,12060,2308678,2.25
2018-09-01,12060,2312225,2.46
2018-12-01,12060,2343711,1.88
2019-03-01,12060,2352146,3.09
2019-06-01,12060,2379797,3.08
2019-09-01,12060,2374335,2.69
2019-12-01,12060,2415737,3.07
2020-03-01,12060,2362276,
2020-06-01,12060,2149483,-9.68
2020-09-01,12060,2204754,-7.14
2020-12-01,12060,2293279,-5.07
2021-03-01,12060,2278337,
2021-06-01,12060,2319139,7.89
2021-09-01,12060,2331766,5.76
2021-12-01,12060,2408750,5.04
2022-03-01,12060,2414518,5.98
2022-06-01,12060,2452121,5.73
2022-09-01,12060,2470648,5.96
2022-12-01,12060,2510812,4.24
2023-03-01,12060,2493606,3.28
2023-06-01,12060,2520059,2.77
2023-09-01,12060,2503930,1.35
2023-12-01,12060,2539699,1.15
2024-03-01,12060,2513321,
2024-06-01,12060,2548528,1.13
2024-09-01,12060,2524161,0.81
2024-12-01,12060,2556020,0.64
2025-03-01,12060,2513335,
2025-06-01,12060,2537351,-0.44
2016-03-01,12100,100035,
2016-06-01,12100,110922,
2016-09-01,12100,107295,
2016-12-01,12100,101531,
2017-03-01,12100,98913,
2017-06-01,12100,111612,0.62
2017-09-01,12100,105393,-1.77
2017-12-01,12100,101610,0.08
2018-03-01,12100,99037,0.13
2018-06-01,12100,115348,3.35
2018-09-01,12100,111475,5.77
2018-12-01,12100,107434,5.73
2019-03-01,12100,105199,6.22
2019-06-01,12100,116869,1.32
2019-09-01,12100,110143,-1.19
2019-12-01,12100,107055,-0.35
2020-03-01,12100,104771,
2020-06-01,12100,71444,-38.87
2020-09-01,12100,93651,-14.97
2020-12-01,12100,92272,-13.81
2021-03-01,12100,91145,
2021-06-01,12100,104252,45.92
2021-09-01,12100,101594,8.48
2021-12-01,12100,101305,9.79
2022-03-01,12100,99685,9.37
2022-06-01,12100,110331,5.83
2022-09-01,12100,106347,4.68
2022-12-01,12100,103085,1.76
2023-03-01,12100,101079,1.4
2023-06-01,12100,114121,3.44
2023-09-01,12100,106750,0.38
2023-12-01,12100,103246,0.16
2024-03-01,12100,128300,
2024-06-01,12100,158633,39
2024-09-01,12100,146451,37.19
2024-12-01,12100,134523,30.29
2025-03-01,12100,129211,
2025-06-01,12100,158225,-0.26
2016-03-01,12220,40897,
2016-06-01,12220,41601,
2016-09-01,12220,42733,
2016-12-01,12220,43393,
2017-03-01,12220,43513,
2017-06-01,12220,42840,2.98
2017-09-01,12220,43477,1.74
2017-12-01,12220,43097,-0.68
2018-03-01,12220,42854,-1.51
2018-06-01,12220,43424,1.36
2018-09-01,12220,44473,2.29
2018-12-01,12220,44316,2.83
2019-03-01,12220,44099,2.91
2019-06-01,12220,44018,1.37
2019-09-01,12220,45254,1.76
2019-12-01,12220,45410,2.47
2020-03-01,12220,44004,
2020-06-01,12220,39962,-9.21
2020-09-01,12220,42722,-5.6
2020-12-01,12220,43778,-3.59
2021-03-01,12220,43637,
2021-06-01,12220,43909,9.88
2021-09-01,12220,44979,5.28
2021-12-01,12220,46119,5.35
2022-03-01,12220,46154,5.77
2022-06-01,12220,46511,5.93
2022-09-01,12220,47912,6.52
2022-12-01,12220,47291,2.54
2023-03-01,12220,48324,4.7
2023-06-01,12220,49150,5.67
2023-09-01,12220,50414,5.22
2023-12-01,12220,49799,5.3
2024-03-01,12220,51924,
2024-06-01,12220,51406,4.59
2024-09-01,12220,52713,4.56
2024-12-01,12220,52924,6.28
2025-03-01,12220,52611,
2025-06-01,12220,52278,1.7
2016-03-01,12260,175457,
2016-06-01,12260,177825,
2016-09-01,12260,176947,
2016-12-01,12260,179122,
2017-03-01,12260,179580,
